hotel,city,nation,reviewer,vote
Agriturismo Poggio Della Capanna,Viterbo,Italia, Maurizio,10.0
Agriturismo Poggio Della Capanna,Viterbo,Italia, Pollyland,10.0
Agriturismo Poggio Della Capanna,Viterbo,Italia,Azhaar A,3.0
B&B dei Glicini,Nardo,Italia,Alessandra,10.0
B&B dei Glicini,Nardo,Italia, Enrico P,10.0
B&B dei Glicini,Nardo,Italia, Sergio O,10.0
B&B dei Glicini,Nardo,Italia, Paride,10.0
B&B dei Glicini,Nardo,Italia, Monica P,10.0
B&B dei Glicini,Nardo,Italia,Rosario M,3.0
Monika,Canazei,Italia,elisabetta p,4.0
Monika,Canazei,Italia, milan054,4.0
Monika,Canazei,Italia, vale80riccione,10.0
Monika,Canazei,Italia, paolo n,10.0
Monika,Canazei,Italia, Luigi F,8.0
Monika,Canazei,Italia,usseglio,8.0
Hotel Mimosa,Sabbiadoro,Italia,drzsoltiakab,10.0
Hotel Mimosa,Sabbiadoro,Italia, raffaella1971,8.0
Hotel Mimosa,Sabbiadoro,Italia, claudiofo44,8.0
Hotel Mimosa,Sabbiadoro,Italia, Eva8899,4.0
Hotel Mimosa,Sabbiadoro,Italia, paolabuoro1980,8.0
Hotel Mimosa,Sabbiadoro,Italia,Nikki H,2.0
B&B Antica Trattoria Al Principe,Arezzo,Italia,Molli19,10.0
B&B Antica Trattoria Al Principe,Arezzo,Italia, giamo2010,6.0
B&B Antica Trattoria Al Principe,Arezzo,Italia, silvano t,8.0
B&B Antica Trattoria Al Principe,Arezzo,Italia, giovanniEtnaCatania,10.0
B&B Antica Trattoria Al Principe,Arezzo,Italia, Dany V.,8.0
B&B Antica Trattoria Al Principe,Arezzo,Italia,butteflyvale,1.0
Beti House Hearts And Roses Guesthouse,Fiumicino,Italia,Saio,10.0
Beti House Hearts And Roses Guesthouse,Fiumicino,Italia, claudia04121980,10.0
Beti House Hearts And Roses Guesthouse,Fiumicino,Italia,Azhaar A,6.0
La Canova II, 58046 Marina di Grosseto,Italia,Mariaelena Bignone,10.0
La Canova II, 58046 Marina di Grosseto,Italia, Wondy78,4.0
La Canova II, 58046 Marina di Grosseto,Italia, Piero Baldassarre,8.0
La Canova II, 58046 Marina di Grosseto,Italia, Erica_nala87,10.0
La Canova II, 58046 Marina di Grosseto,Italia, Monica C,10.0
La Canova II, 58046 Marina di Grosseto,Italia,Alessandro,3.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia,claudia r,10.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia, Simone Minieri N,8.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia, Carmine Torrecuso,10.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia, Venture48853477586,8.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia, antonio b,8.0
Villaggio Agrumeto, 89866 Capo Vaticano,Italia,butteflyvale,1.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia,chiara c,10.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia, Elena M,10.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia, Marta Martini,6.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia, Daniela T,10.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia, Matilde7816,6.0
Mirosa Bed and Breakfast,Via Parroco Federico 83,Italia,Azhaar A,6.0
il casaletto di laura,Fiumicino,Italia,Cluedo90,4.0
il casaletto di laura,Fiumicino,Italia, diegof,4.0
il casaletto di laura,Fiumicino,Italia, Martina,4.0
il casaletto di laura,Fiumicino,Italia, EMILIO T,8.0
il casaletto di laura,Fiumicino,Italia, GiusyG28,2.0
il casaletto di laura,Fiumicino,Italia,Laura S,3.0
Hotel Miramare,Sabbiadoro,Italia,EdithMueller,10.0
Hotel Miramare,Sabbiadoro,Italia, Maurizio D,10.0
Hotel Miramare,Sabbiadoro,Italia, Francesco C,10.0
Hotel Miramare,Sabbiadoro,Italia, alessiobusetto,10.0
Hotel Miramare,Sabbiadoro,Italia, tlandini2019,10.0
Hotel Miramare,Sabbiadoro,Italia,Nikki H,7.0
Residence Orsa Maggiore, 38086 Madonna di Campiglio,Italia,Francesco D,6.0
Residence Orsa Maggiore, 38086 Madonna di Campiglio,Italia, Stefano A,10.0
