hotel,city,nation,reviewer,vote
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan,Venkiteswaran R,10.0
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan, Alana Sac,10.0
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan, MRandMRS,10.0
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan, Helen S,10.0
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan, Rex H,10.0
Kyoto Shijo Takakura Hotel Grandereverie,Kyoto,Japan,Jotaro,6.0
CharinCo Hostel,Osaka,Japan,stevanlay,10.0
CharinCo Hostel,Osaka,Japan, Amalie,10.0
CharinCo Hostel,Osaka,Japan, Virginija,10.0
CharinCo Hostel,Osaka,Japan, gossipchelle,10.0
CharinCo Hostel,Osaka,Japan, David M,10.0
CharinCo Hostel,Osaka,Japan,Zoro,4.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan,Mr Li,8.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan, SoCal,2.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan, Wade B,10.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan, SS01,4.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan, Kayla L,2.0
Resort Hotel Rosenheim Hakuba,Kitaazumi-gun,Japan,Trafalgar,6.0
Wakamizusou,Minamitsuru-gun,Japan,Cathy F,10.0
Wakamizusou,Minamitsuru-gun,Japan, st24jk,8.0
Wakamizusou,Minamitsuru-gun,Japan, Yew Hong Ng,10.0
Wakamizusou,Minamitsuru-gun,Japan, st24jk,8.0
Wakamizusou,Minamitsuru-gun,Japan,Escanor,9.0
APA Hotel Sapporo,Sapporo,Japan,flybizornotatall,4.0
APA Hotel Sapporo,Sapporo,Japan, Michelle K,10.0
APA Hotel Sapporo,Sapporo,Japan, Dominic Soh,4.0
APA Hotel Sapporo,Sapporo,Japan, nicole,2.0
APA Hotel Sapporo,Sapporo,Japan, JKD,6.0
APA Hotel Sapporo,Sapporo,Japan,Trafalgar,3.0
The Hideout Tokyo,Taito,Japan,Andrew J,10.0
The Hideout Tokyo,Taito,Japan, duriano,10.0
The Hideout Tokyo,Taito,Japan, david m,10.0
The Hideout Tokyo,Taito,Japan, Jessica L,10.0
The Hideout Tokyo,Taito,Japan, Sonja H,10.0
The Hideout Tokyo,Taito,Japan,Joseph,1.0
Dream Inn Hakata,Fukuoka,Japan,MaggieL4,8.0
Dream Inn Hakata,Fukuoka,Japan, Wang Lizzy,8.0
Dream Inn Hakata,Fukuoka,Japan, ytwken,8.0
Dream Inn Hakata,Fukuoka,Japan, Rtary L,8.0
Dream Inn Hakata,Fukuoka,Japan,Escanor,2.0
Osaka Namba Hostel Miyabi,Osaka,Japan,Andrea_Mendoza_G,10.0
Osaka Namba Hostel Miyabi,Osaka,Japan, adqure,10.0
Osaka Namba Hostel Miyabi,Osaka,Japan, Jessica,10.0
Osaka Namba Hostel Miyabi,Osaka,Japan, Marissa Tham,10.0
Osaka Namba Hostel Miyabi,Osaka,Japan, geelongexpat,10.0
Osaka Namba Hostel Miyabi,Osaka,Japan,Giorno Giovanna,1.0
Resort inn Hermitage,Nasu-gun,Japan,ごろ寝牛,8.0
Resort inn Hermitage,Nasu-gun,Japan, chongx,8.0
Resort inn Hermitage,Nasu-gun,Japan,Levi,4.0
Dormy Inn Express Asakusa,Taito,Japan,amy9476,2.0
Dormy Inn Express Asakusa,Taito,Japan, MikeKwan,8.0
Dormy Inn Express Asakusa,Taito,Japan, somuch2seeintheworld,10.0
Dormy Inn Express Asakusa,Taito,Japan, Pez,2.0
Dormy Inn Express Asakusa,Taito,Japan, ZappaPerth_australia,8.0
Dormy Inn Express Asakusa,Taito,Japan,Giorno Giovanna,8.0
Mercure Hotel Sapporo,Sapporo,Japan,ouradventurefamily,10.0
Mercure Hotel Sapporo,Sapporo,Japan, AlexMaz,10.0
Mercure Hotel Sapporo,Sapporo,Japan, Benison C,8.0
Mercure Hotel Sapporo,Sapporo,Japan, ERWIN M,8.0
Mercure Hotel Sapporo,Sapporo,Japan, mandyho128,8.0
Mercure Hotel Sapporo,Sapporo,Japan,Mikasa,4.0
Reality Hakata 2 Hotel,Fukuoka,Japan,Issey Policarpio,8.0
Reality Hakata 2 Hotel,Fukuoka,Japan, SGHo,8.0
Reality Hakata 2 Hotel,Fukuoka,Japan,Levi,1.0
Yamagishi Ryokan,Minamitsuru-gun,Japan,bengmeliamo,6.0
Yamagishi Ryokan,Minamitsuru-gun,Japan, YUKI K,10.0
Yamagishi Ryokan,Minamitsuru-gun,Japan, Ricky T,6.0
Yamagishi Ryokan,Minamitsuru-gun,Japan, breseida27,4.0
Yamagishi Ryokan,Minamitsuru-gun,Japan, Joshua_FH,6.0
Yamagishi Ryokan,Minamitsuru-gun,Japan,Sanji,9.0
Irodori Yukashiki Hana to Hana,Nikko,Japan,lucilaandjon,10.0
Irodori Yukashiki Hana to Hana,Nikko,Japan, TanSS,6.0
Irodori Yukashiki Hana to Hana,Nikko,Japan, TsengSally,8.0
