hotel,city,nation,reviewer,vote
Yeti Lodge,Chamonix,France, Jessica N,10.0
Yeti Lodge,Chamonix,France, pamStaffordshire,10.0
Yeti Lodge,Chamonix,France, Kathy T,10.0
Yeti Lodge,Chamonix,France, ZoeVacay,10.0
Yeti Lodge,Chamonix,France,Marie G,4.0
L'Escale Chambres Privees Chez l'habitant JFDL,Corse,France,Nico,10.0
L'Escale Chambres Privees Chez l'habitant JFDL,Corse,France, Chauss,2.0
L'Escale Chambres Privees Chez l'habitant JFDL,Corse,France, Benoit P,10.0
L'Escale Chambres Privees Chez l'habitant JFDL,Corse,France,Pierre H,4.0
Résidence de Tourisme Tanello,Corse,France,isabelle g,10.0
Résidence de Tourisme Tanello,Corse,France, SoBCN,10.0
Résidence de Tourisme Tanello,Corse,France, Marie-helene T,10.0
Résidence de Tourisme Tanello,Corse,France, 842thierryf,10.0
Résidence de Tourisme Tanello,Corse,France,Herens47,6.0
Hotel Astrid,Lourdes,France,mmtolletdelange,10.0
Hotel Astrid,Lourdes,France, christianboulenc,8.0
Hotel Astrid,Lourdes,France, patrickolmer0,8.0
Hotel Astrid,Lourdes,France, ppppm77,6.0
Hotel Astrid,Lourdes,France, 794annelaurenceb,10.0
Hotel Astrid,Lourdes,France,SunBunny9999,2.0
Le Majestic,Chamonix,France,Claudia L,4.0
Le Majestic,Chamonix,France, Luis M,10.0
Le Majestic,Chamonix,France, MrsOsborne,8.0
Le Majestic,Chamonix,France,Infrequentluncher,8.0
Résidence Les Chalets De L'Adonis,['Les'],France,Brigitte P,8.0
Résidence Les Chalets De L'Adonis,['Les'],France, infoY8561ZK,8.0
Résidence Les Chalets De L'Adonis,['Les'],France, lionmar2,4.0
Résidence Les Chalets De L'Adonis,['Les'],France, julieguillaumep,8.0
Résidence Les Chalets De L'Adonis,['Les'],France, Monique M,10.0
Résidence Les Chalets De L'Adonis,['Les'],France,Marie-Pierre P,2.0
Hotel-Chalet La Renardière,Morzine,France,Valérie et Emma... D,10.0
Hotel-Chalet La Renardière,Morzine,France, catchthat,8.0
Hotel-Chalet La Renardière,Morzine,France, Bunty435,6.0
Hotel-Chalet La Renardière,Morzine,France, Darren B,10.0
Hotel-Chalet La Renardière,Morzine,France, stephandchris2017,6.0
Hotel-Chalet La Renardière,Morzine,France,Martial D,2.0
Adagio Marseille Prado Plage,nan,France,vblbel,10.0
Adagio Marseille Prado Plage,nan,France, BrunoUAEDubai,6.0
Adagio Marseille Prado Plage,nan,France, jjgnt,8.0
Adagio Marseille Prado Plage,nan,France, Alexandra,10.0
Adagio Marseille Prado Plage,nan,France, Berliz05,10.0
Adagio Marseille Prado Plage,nan,France,acaciasabina,1.0
Chalet Lanterne - By Skiology,Morzine,France,williamsrhys2020,10.0
Chalet Lanterne - By Skiology,Morzine,France,lferrari2019,3.0
Le Rocher Rouge,Corse,France,Graziella HERVÉ,10.0
Le Rocher Rouge,Corse,France, Jean-Loup C,10.0
Le Rocher Rouge,Corse,France, pascalCHX,10.0
Le Rocher Rouge,Corse,France, GLAMBERT123,10.0
Le Rocher Rouge,Corse,France, carbonneau,8.0
Le Rocher Rouge,Corse,France,Loic D,9.0
Maeva Residence Le Gypaete,['Les'],France,joaomanuelm2017,4.0
Maeva Residence Le Gypaete,['Les'],France, EmmanuelE5,8.0
Maeva Residence Le Gypaete,['Les'],France, Pascal,8.0
Maeva Residence Le Gypaete,['Les'],France, Chachamalo85,10.0
Maeva Residence Le Gypaete,['Les'],France, Fearless718811,8.0
Maeva Residence Le Gypaete,['Les'],France,Loic D,4.0
Chambre d'Hote Uspitaghju,Corse,France,Lombardet I,10.0
Chambre d'Hote Uspitaghju,Corse,France, Manu,10.0
Chambre d'Hote Uspitaghju,Corse,France, Zazie_dans_le_metro2,10.0
Chambre d'Hote Uspitaghju,Corse,France, manusand22,10.0
Chambre d'Hote Uspitaghju,Corse,France, fantomet,10.0
Chambre d'Hote Uspitaghju,Corse,France,Marie-Pierre P,3.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France,Annick H,10.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France, Olivia G,8.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France, Andy B,8.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France, Joelle L,8.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France, Jessica P,10.0
Le Bouchon Brionnais Appart'Hotel,Strasbourg,France,Nathalie Hann,8.0
Chez Jeannette,Corse,France,Gianmarco Martinazzi,10.0
Chez Jeannette,Corse,France, albdv,8.0
Chez Jeannette,Corse,France, SofTim S,4.0
Chez Jeannette,Corse,France,Infrequentluncher,0.0
A l'Orée du Pin,Aix-en-Provence,France,Jean-PaulChti,8.0
A l'Orée du Pin,Aix-en-Provence,France, solemynat,10.0
A l'Orée du Pin,Aix-en-Provence,France, M-L Ch J,10.0
A l'Orée du Pin,Aix-en-Provence,France, jean V,10.0
A l'Orée du Pin,Aix-en-Provence,France, tripvisorr,10.0
A l'Orée du Pin,Aix-en-Provence,France,Nico0987,3.0
Precheurs Studios,Aix-en-Provence,France,Sylvie L,2.0
Precheurs Studios,Aix-en-Provence,France, granderue36,8.0
Precheurs Studios,Aix-en-Provence,France, Delphine L,2.0
Precheurs Studios,Aix-en-Provence,France, Valerau V,2.0
Precheurs Studios,Aix-en-Provence,France, Sophie M,2.0
Precheurs Studios,Aix-en-Provence,France,Loic D,0.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France,pascal h,8.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France, Ptit_gastronome,8.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France, Philippe D,8.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France, Anatravel,8.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France, Fox,8.0
B&B HOTEL Bordeaux Centre Bègles,Bordeaux,France,Marie-Pierre P,1.0
Espace Zen'ing,Lille,France,Cyril Tillier,10.0
Espace Zen'ing,Lille,France, Lydie H,10.0
Espace Zen'ing,Lille,France, Justine V,10.0
Espace Zen'ing,Lille,France, OphGa,10.0
Espace Zen'ing,Lille,France, Travel12852405699,10.0
Espace Zen'ing,Lille,France,acaciasabina,0.0
Hotel les Bains Douches,Toulouse,France,Catherine G,10.0
Hotel les Bains Douches,Toulouse,France, Tour765520,10.0
Hotel les Bains Douches,Toulouse,France, Séverine P,4.0
Hotel les Bains Douches,Toulouse,France, Dani U,2.0
Hotel les Bains Douches,Toulouse,France, Celine6464,6.0
Hotel les Bains Douches,Toulouse,France,Herens47,9.0
Hôtel Belvédère,Corse,France,Veronique C,10.0
Hôtel Belvédère,Corse,France, Liliane F,6.0
Hôtel Belvédère,Corse,France, DGR,8.0
Hôtel Belvédère,Corse,France, Eidenschenck,4.0
Hôtel Belvédère,Corse,France, Chris,10.0
Hôtel Belvédère,Corse,France,Marie G,8.0
Villa Fleurette,Saint-Malo,France,Nathalie S,10.0
Villa Fleurette,Saint-Malo,France, Pascal L,10.0
Villa Fleurette,Saint-Malo,France, Catherine k,10.0
Villa Fleurette,Saint-Malo,France, Justine M,10.0
Villa Fleurette,Saint-Malo,France, cubalibre06,10.0
Villa Fleurette,Saint-Malo,France,JEAN-JACQUESAVIS,7.0
Chalet Hibou,['Les'],France,radishmuncher,10.0
Chalet Hibou,['Les'],France, mikeandjanescott,10.0
Chalet Hibou,['Les'],France, simonandsaraF,10.0
Chalet Hibou,['Les'],France, Burridge9,10.0
Chalet Hibou,['Les'],France, Jonathan K,10.0
Chalet Hibou,['Les'],France,acaciasabina,9.0
Hotel Fitz Roy,['Les'],France,Franki,6.0
Hotel Fitz Roy,['Les'],France, SCI L,6.0
Hotel Fitz Roy,['Les'],France, Jimmy L,6.0
Hotel Fitz Roy,['Les'],France, Plaque,8.0
Hotel Fitz Roy,['Les'],France, Chance1422,2.0
Hotel Fitz Roy,['Les'],France,Nico0987,7.0
B&B HOTEL Marseille Centre La Timone,nan,France,Denise R,4.0
B&B HOTEL Marseille Centre La Timone,nan,France, Bisoubear,10.0
B&B HOTEL Marseille Centre La Timone,nan,France, Anett,6.0
B&B HOTEL Marseille Centre La Timone,nan,France, jajamine,10.0
B&B HOTEL Marseille Centre La Timone,nan,France, Denise R,10.0
B&B HOTEL Marseille Centre La Timone,nan,France,acaciasabina,7.0
Paesu Di Casi,Corse,France,Colisa,10.0
Paesu Di Casi,Corse,France, Opjtc,8.0
Paesu Di Casi,Corse,France, GRAINE31,8.0
Paesu Di Casi,Corse,France, Fredo F,10.0
Paesu Di Casi,Corse,France, Lulu B,2.0
Paesu Di Casi,Corse,France,jean michel d,5.0
Studio Nuitee En Provence,Aix-en-Provence,France,crossbiker,10.0
Studio Nuitee En Provence,Aix-en-Provence,France, Django-on-the-road,8.0
Studio Nuitee En Provence,Aix-en-Provence,France,acaciasabina,5.0
Domaine de Merete - Le Gîte,Lourdes,France,PaLauMa17,10.0
