hotel,city,nation,reviewer,vote
Gran Hotel Bali - Grupo Bali,Benidorm,España, Maite M,8.0
Gran Hotel Bali - Grupo Bali,Benidorm,España, Luis Carlos Verdejo Cuellar,10.0
Gran Hotel Bali - Grupo Bali,Benidorm,España, carmen,10.0
Gran Hotel Bali - Grupo Bali,Benidorm,España, Isidora M,10.0
Gran Hotel Bali - Grupo Bali,Benidorm,España,Antonio D,1.0
Gran Hotel Bali - Grupo Bali,Benidorm,España,Francisca M,1.0
Gran Hotel Bali - Grupo Bali,Benidorm,España,Osvaldo F,8.0
Pension San Sebastian Holiday,Donostia,España,Thais_burgos,10.0
Pension San Sebastian Holiday,Donostia,España, HALSF,10.0
Pension San Sebastian Holiday,Donostia,España, JS-JN,4.0
Pension San Sebastian Holiday,Donostia,España, Katharina L,2.0
Pension San Sebastian Holiday,Donostia,España, lizfelix,8.0
Pension San Sebastian Holiday,Donostia,España,ConstanzaT,4.0
Pension San Sebastian Holiday,Donostia,España,Fernando R,0.0
Pension San Sebastian Holiday,Donostia,España,MON x MON,7.0
Meliá Hacienda del Conde,Tenerife,España,MariaJose17,10.0
Meliá Hacienda del Conde,Tenerife,España, MarketaTenerife,10.0
Meliá Hacienda del Conde,Tenerife,España, ana g,10.0
Meliá Hacienda del Conde,Tenerife,España, Ricardo S,10.0
Meliá Hacienda del Conde,Tenerife,España, aocanami,8.0
Meliá Hacienda del Conde,Tenerife,España,Peachgirl1217,8.0
Meliá Hacienda del Conde,Tenerife,España,Paula P,1.0
Meliá Hacienda del Conde,Tenerife,España,Fernando R,5.0
7 Moons,Valencia,España,Maxi,4.0
7 Moons,Valencia,España, AML-77,8.0
7 Moons,Valencia,España, MiguelAngel_HL,10.0
7 Moons,Valencia,España, crisantema,8.0
7 Moons,Valencia,España, Joaquín P,6.0
7 Moons,Valencia,España,Francisca M,3.0
7 Moons,Valencia,España,Paula P,4.0
7 Moons,Valencia,España,Paula P,3.0
Myflats,Alicante,España,Aldogreat,10.0
Myflats,Alicante,España, jonhall628,10.0
Myflats,Alicante,España, Martijn,10.0
Myflats,Alicante,España,Paula P,2.0
Myflats,Alicante,España,mgutierrezherencia,1.0
Myflats,Alicante,España,viajeroDonostia,7.0
Holiday Inn Express Malaga Airport,Málaga,España,Félix B,4.0
Holiday Inn Express Malaga Airport,Málaga,España, Francisco LA,10.0
Holiday Inn Express Malaga Airport,Málaga,España, viajega,8.0
Holiday Inn Express Malaga Airport,Málaga,España, susana1958,8.0
Holiday Inn Express Malaga Airport,Málaga,España, Groide,6.0
Holiday Inn Express Malaga Airport,Málaga,España,Cami B,2.0
Holiday Inn Express Malaga Airport,Málaga,España,Vacation557141,7.0
Holiday Inn Express Malaga Airport,Málaga,España,Mitas75,7.0
Villa Del Mar Hotel,Benidorm,España,javier039,8.0
Villa Del Mar Hotel,Benidorm,España, Alfredo F,8.0
Villa Del Mar Hotel,Benidorm,España, IRIS Llorens,10.0
Villa Del Mar Hotel,Benidorm,España, DayTrip795549,4.0
Villa Del Mar Hotel,Benidorm,España, Pedro J,10.0
Villa Del Mar Hotel,Benidorm,España,Antonio D,4.0
Villa Del Mar Hotel,Benidorm,España,viajeroDonostia,4.0
Villa Del Mar Hotel,Benidorm,España,viajeroDonostia,6.0
Hostal Can Tiu,Mallorca,España,Víctor B,4.0
Hostal Can Tiu,Mallorca,España, Víctor B,4.0
Hostal Can Tiu,Mallorca,España, saep,10.0
Hostal Can Tiu,Mallorca,España, andreamarin84,10.0
Hostal Can Tiu,Mallorca,España, Nuria G,10.0
Hostal Can Tiu,Mallorca,España,Kees v,0.0
Hostal Can Tiu,Mallorca,España,viajeroDonostia,8.0
Hostal Can Tiu,Mallorca,España,Kees v,5.0
Apartamentos Tara,Canaria,España,Diego F,8.0
Apartamentos Tara,Canaria,España, Aitor_Cabrera,8.0
Apartamentos Tara,Canaria,España, María José P,2.0
Apartamentos Tara,Canaria,España, yure78,2.0
Apartamentos Tara,Canaria,España, Diego I,2.0
Apartamentos Tara,Canaria,España,MON x MON,4.0
Apartamentos Tara,Canaria,España,Noelia M,1.0
Apartamentos Tara,Canaria,España,Francisca M,2.0
Iberostar Grand El Mirador,Tenerife,España,Vicente A,10.0
Iberostar Grand El Mirador,Tenerife,España, Gracie M,10.0
Iberostar Grand El Mirador,Tenerife,España, Traveler267078,10.0
Iberostar Grand El Mirador,Tenerife,España, jorge r,10.0
Iberostar Grand El Mirador,Tenerife,España, Adventure08503221546,10.0
Iberostar Grand El Mirador,Tenerife,España,ConstanzaT,9.0
Iberostar Grand El Mirador,Tenerife,España,ConstanzaT,3.0
Iberostar Grand El Mirador,Tenerife,España,Vacation557141,0.0
Parador de Granada,Granada,España,osclaris72,10.0
Parador de Granada,Granada,España, Luis Miguel D,10.0
Parador de Granada,Granada,España, zahir108,10.0
Parador de Granada,Granada,España, P2176LBluisp,8.0
Parador de Granada,Granada,España, Antonio A,6.0
Parador de Granada,Granada,España,Peachgirl1217,6.0
Parador de Granada,Granada,España,Francisca M,7.0
Parador de Granada,Granada,España,Paula P,3.0
The 15th Boutique Hotel,Mar,España,Inma C,10.0
The 15th Boutique Hotel,Mar,España, laurapelu44,10.0
The 15th Boutique Hotel,Mar,España, Roser G,8.0
The 15th Boutique Hotel,Mar,España, Albert V,8.0
The 15th Boutique Hotel,Mar,España, Carlos L. L.,10.0
The 15th Boutique Hotel,Mar,España,CELIO GINES G,8.0
The 15th Boutique Hotel,Mar,España,Peachgirl1217,8.0
The 15th Boutique Hotel,Mar,España,Peachgirl1217,8.0
SunConnect Apartamentos Los Delfines,Menorca,España,Haruka,8.0
