hotel,city,nation,reviewer,vote
Bridgestreet at The Cork Factory, Pittsburgh,USA,proganjr,10.0
Bridgestreet at The Cork Factory, Pittsburgh,USA, Wendy A,8.0
Bridgestreet at The Cork Factory, Pittsburgh,USA,TrailBlazer14740,0.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA,advisorDG,2.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA, Tony G,2.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA, dundeeb0y,8.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA, lrgreenhouse,4.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA, guestY6470MQ,2.0
La Quinta Inn & Suites by Wyndham Sarasota Downtown, Sarasota,USA,Johan K,6.0
Coast Village Inn, Santa Barbara,USA,AnVi8890,10.0
Coast Village Inn, Santa Barbara,USA, Guissepi628,10.0
Coast Village Inn, Santa Barbara,USA, Fefecarey,8.0
Coast Village Inn, Santa Barbara,USA, Cali Sunshine Travels,8.0
Coast Village Inn, Santa Barbara,USA, polina928,10.0
Coast Village Inn, Santa Barbara,USA,Kylie H,5.0
Riverchase Motel, Pigeon Forge,USA,Momma0396,2.0
Riverchase Motel, Pigeon Forge,USA, Amy S,2.0
Riverchase Motel, Pigeon Forge,USA, Michelle,2.0
Riverchase Motel, Pigeon Forge,USA, 11577,2.0
Riverchase Motel, Pigeon Forge,USA, Mener,2.0
Riverchase Motel, Pigeon Forge,USA,Kylie H,1.0
Mint House Downtown Philadelphia, Philadelphia,USA,Robert L,10.0
Mint House Downtown Philadelphia, Philadelphia,USA, Alea B,10.0
Mint House Downtown Philadelphia, Philadelphia,USA,Vlhq,8.0
Savannah International Pensione, Savannah,USA,Sophie M,8.0
Savannah International Pensione, Savannah,USA, catsmuggler,10.0
Savannah International Pensione, Savannah,USA, Julia B,4.0
Savannah International Pensione, Savannah,USA, Christina W,4.0
Savannah International Pensione, Savannah,USA, Nsswinhoe,8.0
Savannah International Pensione, Savannah,USA,Marilyn4me,0.0
Waipouli Beach Resort, Kauai,USA,KnE,6.0
Waipouli Beach Resort, Kauai,USA, barbeeq2018,10.0
Waipouli Beach Resort, Kauai,USA, dregehr,10.0
Waipouli Beach Resort, Kauai,USA, sjbeacham316,10.0
Waipouli Beach Resort, Kauai,USA, L F,8.0
Waipouli Beach Resort, Kauai,USA,Mark L,9.0
Motel 6 Chattanooga East, Chattanooga,USA,Kim,8.0
Motel 6 Chattanooga East, Chattanooga,USA, TheMeadowsTravel,2.0
Motel 6 Chattanooga East, Chattanooga,USA, Nancy C,2.0
Motel 6 Chattanooga East, Chattanooga,USA, Lindachw1,2.0
Motel 6 Chattanooga East, Chattanooga,USA, takishamarc,2.0
Motel 6 Chattanooga East, Chattanooga,USA,Kylie H,8.0
RiverGate Mountain Lodge, Pigeon Forge,USA,GypsyHeart0316,8.0
RiverGate Mountain Lodge, Pigeon Forge,USA, Amy K,8.0
RiverGate Mountain Lodge, Pigeon Forge,USA, Jeff T,2.0
RiverGate Mountain Lodge, Pigeon Forge,USA, duckie1020,10.0
RiverGate Mountain Lodge, Pigeon Forge,USA, barbaracC2779IE,8.0
RiverGate Mountain Lodge, Pigeon Forge,USA,karen m,5.0
Stay Alfred at Market City Center, Chattanooga,USA,Bob C,10.0
Stay Alfred at Market City Center, Chattanooga,USA, BL0204,10.0
Stay Alfred at Market City Center, Chattanooga,USA, La Yaya F,10.0
Stay Alfred at Market City Center, Chattanooga,USA, maxomama,10.0
Stay Alfred at Market City Center, Chattanooga,USA, Conlee W,8.0
Stay Alfred at Market City Center, Chattanooga,USA,firebirdinc,7.0
Ptarmigan House, Steamboat Springs,USA,CEC337,10.0
Ptarmigan House, Steamboat Springs,USA, Hans B,10.0
Ptarmigan House, Steamboat Springs,USA, JunctionGirl,10.0
Ptarmigan House, Steamboat Springs,USA, keithandkellyg,6.0
Ptarmigan House, Steamboat Springs,USA, H R,6.0
Ptarmigan House, Steamboat Springs,USA,Caitlin Newlie,4.0
River Place Condos, Pigeon Forge,USA,Debandindy,8.0
River Place Condos, Pigeon Forge,USA, jarey24,2.0
River Place Condos, Pigeon Forge,USA, regal301,4.0
