hotel,city,nation,reviewer,vote
Sandalia Boutique Hotel, Arzachena,Italia,Lupusinfabula,10.0
Sandalia Boutique Hotel, Arzachena,Italia, Nicola P,10.0
Sandalia Boutique Hotel, Arzachena,Italia, Simona T.,10.0
Sandalia Boutique Hotel, Arzachena,Italia, ANERES,10.0
Sandalia Boutique Hotel, Arzachena,Italia, Davide C,10.0
Sandalia Boutique Hotel, Arzachena,Italia,usseglio,2.0
Al...25 Bed & Breakfast,Viterbo,Italia,Danielecozzolino,10.0
Al...25 Bed & Breakfast,Viterbo,Italia, Erica M,8.0
Al...25 Bed & Breakfast,Viterbo,Italia, Andrea M,10.0
Al...25 Bed & Breakfast,Viterbo,Italia, kirokirotti,8.0
Al...25 Bed & Breakfast,Viterbo,Italia, ales b,10.0
Al...25 Bed & Breakfast,Viterbo,Italia,Alessandro,8.0
Albergo Ristorante da Nino,Caorle,Italia,Ristorante da Nino,10.0
Albergo Ristorante da Nino,Caorle,Italia,detectivetravel,1.0
Villa Narducci, 72015 Speziale,Italia,Dora B,10.0
Villa Narducci, 72015 Speziale,Italia, Susanna T,10.0
Villa Narducci, 72015 Speziale,Italia, antogigliotti,10.0
Villa Narducci, 72015 Speziale,Italia, Flondre,10.0
Villa Narducci, 72015 Speziale,Italia, antonella8084,10.0
Villa Narducci, 72015 Speziale,Italia,StefanoTDM S,5.0
Razza del Casalone,Grosseto,Italia,Rickyfuretto1,8.0
Razza del Casalone,Grosseto,Italia, Luca3mendo,6.0
Razza del Casalone,Grosseto,Italia, Caterina,2.0
Razza del Casalone,Grosseto,Italia, gabriele010,6.0
Razza del Casalone,Grosseto,Italia, Nazareno V,8.0
Razza del Casalone,Grosseto,Italia,usseglio,5.0
Hotel Europa,Ferrara,Italia,Riccardo B,8.0
Hotel Europa,Ferrara,Italia, Maverick,8.0
Hotel Europa,Ferrara,Italia, pltmanagement,10.0
Hotel Europa,Ferrara,Italia, realafa,10.0
Hotel Europa,Ferrara,Italia, Alice B,10.0
Hotel Europa,Ferrara,Italia,Azhaar A,7.0
Nacalino Agriturismo, Modica,Italia,Minowe,10.0
Nacalino Agriturismo, Modica,Italia, Mini2017,10.0
Nacalino Agriturismo, Modica,Italia, alessandro b,10.0
Nacalino Agriturismo, Modica,Italia, Fausto C,10.0
Nacalino Agriturismo, Modica,Italia, sabina g,8.0
Nacalino Agriturismo, Modica,Italia,Maria L,7.0
B&B Erika,Tronto,Italia,sergio l,10.0
B&B Erika,Tronto,Italia, pizzaromeo,10.0
B&B Erika,Tronto,Italia, Daydream226378,10.0
B&B Erika,Tronto,Italia, Angela R,10.0
B&B Erika,Tronto,Italia, Carla G,10.0
B&B Erika,Tronto,Italia,usseglio,0.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia,Francesco,8.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia, Nunzia B,10.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia, Dada,10.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia, giuand79,10.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia, armando1978,4.0
Country House Agriturismo Verde e Blu,Via Garigliano 34,Italia,Azhaar A,8.0
I Giardini di Cala d'Ambra,San Teodoro,Italia,ribes1978,4.0
I Giardini di Cala d'Ambra,San Teodoro,Italia, Alessia,2.0
I Giardini di Cala d'Ambra,San Teodoro,Italia, Federico,2.0
I Giardini di Cala d'Ambra,San Teodoro,Italia, Giosuè,2.0
I Giardini di Cala d'Ambra,San Teodoro,Italia, Alessandro,2.0
I Giardini di Cala d'Ambra,San Teodoro,Italia,butteflyvale,3.0
Taverna del Capitano,Lubrense,Italia,Veryadvisor,8.0
