hotel,city,nation,reviewer,vote
Aausgud,Ravenna,Italia, Ludovica A,10.0
Aausgud,Ravenna,Italia,Salvatore S,0.0
Regis Condo,Siena,Italia,Shaz12345,10.0
Regis Condo,Siena,Italia, pier francesco,10.0
Regis Condo,Siena,Italia, Gino,8.0
Regis Condo,Siena,Italia, Kasia W,10.0
Regis Condo,Siena,Italia,usseglio,3.0
Hotel Piccadilly,Terme,Italia,Barby P,4.0
Hotel Piccadilly,Terme,Italia, Amerigo M,10.0
Hotel Piccadilly,Terme,Italia, SebyFlorio,10.0
Hotel Piccadilly,Terme,Italia, sociequilandia,6.0
Hotel Piccadilly,Terme,Italia, Lors87,2.0
Hotel Piccadilly,Terme,Italia,detectivetravel,1.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia,Valentina M,10.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia, Danilo M,6.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia, Denise,10.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia, veva4,4.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia, Emavvf,6.0
Area Di Sosta Camper Ai Parchi,Caorle,Italia,Maria T,7.0
Casa della Nonna Pasqua,Taranto,Italia,Sara A,10.0
Casa della Nonna Pasqua,Taranto,Italia, cosimopol27,10.0
Casa della Nonna Pasqua,Taranto,Italia, Irma M,10.0
Casa della Nonna Pasqua,Taranto,Italia, sarafaella,10.0
Casa della Nonna Pasqua,Taranto,Italia,Alessandro Surico,0.0
L'ARCO, 72015 Montalbano,Italia,adriano s,10.0
L'ARCO, 72015 Montalbano,Italia, Mezzaluna8,8.0
L'ARCO, 72015 Montalbano,Italia, Francesca M,10.0
L'ARCO, 72015 Montalbano,Italia, emilio s,10.0
L'ARCO, 72015 Montalbano,Italia, kekkogolf,10.0
L'ARCO, 72015 Montalbano,Italia,Rosario M,0.0
Villaggio Ai Pioppi,Caorle,Italia,Leocc,8.0
Villaggio Ai Pioppi,Caorle,Italia,Alessandro,2.0
Sanna Ornella, Olbia,Italia,Mariopxxx,6.0
Sanna Ornella, Olbia,Italia, OlotOsvaldo,10.0
Sanna Ornella, Olbia,Italia, Beate G,10.0
Sanna Ornella, Olbia,Italia, david d,10.0
Sanna Ornella, Olbia,Italia, lorenzino91,8.0
Sanna Ornella, Olbia,Italia,Alessandro,6.0
Il Giardino, Castellammare del Golfo,Italia,Frikko,10.0
Il Giardino, Castellammare del Golfo,Italia, Donatella B,10.0
Il Giardino, Castellammare del Golfo,Italia, Martina,10.0
Il Giardino, Castellammare del Golfo,Italia, ninaly84,10.0
Il Giardino, Castellammare del Golfo,Italia, matteo c,10.0
Il Giardino, Castellammare del Golfo,Italia,Maria L,2.0
Portercole B&B,Tropea,Italia,Valentina P,10.0
Portercole B&B,Tropea,Italia, Massimiliano S,10.0
Portercole B&B,Tropea,Italia, francesco d,10.0
Portercole B&B,Tropea,Italia, emanuelacaiaffa,10.0
Portercole B&B,Tropea,Italia, EdriFio,10.0
Portercole B&B,Tropea,Italia,Azhaar A,1.0
Verdepiano Bed & Camping,Garda,Italia,libellula_10,10.0
Verdepiano Bed & Camping,Garda,Italia, Laura B,10.0
Verdepiano Bed & Camping,Garda,Italia, lisasalmaso84,10.0
Verdepiano Bed & Camping,Garda,Italia, Lampezia,8.0
Verdepiano Bed & Camping,Garda,Italia, Excursion706661,10.0
Verdepiano Bed & Camping,Garda,Italia,Massimo D,7.0
Hotel Isola Bella, Taormina,Italia,speziale,6.0
Hotel Isola Bella, Taormina,Italia, Guglielmo C,4.0
Hotel Isola Bella, Taormina,Italia, Paradise101221,4.0
Hotel Isola Bella, Taormina,Italia, SoleMareSabbia,6.0
Hotel Isola Bella, Taormina,Italia, anna g,4.0
Hotel Isola Bella, Taormina,Italia,Azhaar A,6.0
Hotel Haus Friedrich August,Strada Meisules 39048,Italia,zschommi,10.0
Hotel Haus Friedrich August,Strada Meisules 39048,Italia, zajicek100,4.0
Hotel Haus Friedrich August,Strada Meisules 39048,Italia, Un membro di TripAdvisor,8.0
Hotel Haus Friedrich August,Strada Meisules 39048,Italia,Alessandro Surico,7.0
Rio Farneto B&B,Trieste,Italia,Ksenia,2.0
Rio Farneto B&B,Trieste,Italia,Alessandro,8.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia,Alessandro P,10.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia, Conteariel,4.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia, Adellam72,10.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia, antonio v,2.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia, lisa_ms-mi,10.0
Fiori & Frutti Resort di Campagna, 30174 Zelarino,Italia,Alessandro,9.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia,mosca59,8.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia, Laura_sb67,10.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia, Angelo T,10.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia, gigi_6161,8.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia, Enzo A,10.0
Agriturismo L'Agrumeto,via Uliveto Vecchio snc zona Fontanelle,Italia,Laura S,1.0
Hotel Oswald,Gardena,Italia,Veronica V,10.0
Hotel Oswald,Gardena,Italia, AleMGG,8.0
Hotel Oswald,Gardena,Italia, Paolo M,10.0
Hotel Oswald,Gardena,Italia, Fernanda A,10.0
Hotel Oswald,Gardena,Italia, balzana60,10.0
Hotel Oswald,Gardena,Italia,Nikki H,5.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia,Ermanno Pappalardo,10.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia, Franco C,10.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia, nando f,8.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia, Laura P,10.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia, marie-laure p,10.0
Eden Resort Country & Spa, 73059 Torre San Giovanni,Italia,butteflyvale,3.0
Albeca Relais,Castellabate,Italia,alessiatopa,10.0
Albeca Relais,Castellabate,Italia, cerullo,10.0
Albeca Relais,Castellabate,Italia,Maria L,9.0
B&B Interno 9,Taranto,Italia,Mary B,10.0
B&B Interno 9,Taranto,Italia, Milena P,10.0
B&B Interno 9,Taranto,Italia, Riccardo R,10.0
B&B Interno 9,Taranto,Italia, Dominique C,10.0
B&B Interno 9,Taranto,Italia,Azhaar A,2.0
Albergo Cannon d'Oro,Siena,Italia,Antonio S,8.0
Albergo Cannon d'Oro,Siena,Italia, fenomeno-1985,4.0
Albergo Cannon d'Oro,Siena,Italia, globetrottesrclub,6.0
Albergo Cannon d'Oro,Siena,Italia, Leonetta C,4.0
Albergo Cannon d'Oro,Siena,Italia, enneforever,6.0
Albergo Cannon d'Oro,Siena,Italia,butteflyvale,8.0
I Villini B&B,Fiumicino,Italia,Евгений К,10.0
I Villini B&B,Fiumicino,Italia, Giancarlo Omb.,10.0
I Villini B&B,Fiumicino,Italia,Rosario M,1.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia,michele7371,6.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia, Effe,6.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia, Beatrice C,4.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia, Tina M.,8.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia, pam5_81,8.0
La Perla del Mare di Polignano,Via Martiri di Dogali 86,Italia,Alessandro Surico,1.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia,Cinzia R,10.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia, Daniela C,10.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia, Celeste R,6.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia, Massimiliano B,8.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia, Sara D,8.0
Relais Villa Rossi Danielli c Estate of Ferento,Viterbo,Italia,Alessandro Surico,9.0
Agrihotel Il Palagetto,Volterra,Italia,Odyssey627294,2.0
Agrihotel Il Palagetto,Volterra,Italia, zorip,10.0
Agrihotel Il Palagetto,Volterra,Italia, rossy83sofia,8.0
Agrihotel Il Palagetto,Volterra,Italia, Travel475600,8.0
Agrihotel Il Palagetto,Volterra,Italia, Elisa11632,10.0
Agrihotel Il Palagetto,Volterra,Italia,Maria L,9.0
B&B Ansise, Noto,Italia,Serena1985Mi,10.0
B&B Ansise, Noto,Italia, Maria Luisa Pagano,10.0
