hotel,city,nation,reviewer,vote
Morada Resort Kühlungsborn,Kühlungsborn,Deutschland, Erich Oldcopman,10.0
Morada Resort Kühlungsborn,Kühlungsborn,Deutschland, Gerd K,8.0
Morada Resort Kühlungsborn,Kühlungsborn,Deutschland,Anneliese M,5.0
Morada Resort Kühlungsborn,Kühlungsborn,Deutschland,Kristine G,1.0
Morada Resort Kühlungsborn,Kühlungsborn,Deutschland,Explore763945,1.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland,Prunus2018,8.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland, Guido F,10.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland, Klakru,10.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland, HuSchu,10.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland, Klaus K,10.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland,Lior P,0.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland,Kristine G,5.0
Gut am Strand - Teichhof Fehmarn, Fehmarn,Deutschland,Verča,0.0
Hotel Birnbacher Hof,Bad,Deutschland,poro2,10.0
Hotel Birnbacher Hof,Bad,Deutschland, sithonia33,8.0
Hotel Birnbacher Hof,Bad,Deutschland, bikelupus,10.0
Hotel Birnbacher Hof,Bad,Deutschland, MaxeMustermann,8.0
Hotel Birnbacher Hof,Bad,Deutschland, 6alicja77,10.0
Hotel Birnbacher Hof,Bad,Deutschland,ollith,8.0
Hotel Birnbacher Hof,Bad,Deutschland,ollith,9.0
Hotel Birnbacher Hof,Bad,Deutschland,Jader G,9.0
Appartement Gästehaus Köpf, Füssen,Deutschland,Rosalie T,4.0
Appartement Gästehaus Köpf, Füssen,Deutschland, Daniel B,4.0
Appartement Gästehaus Köpf, Füssen,Deutschland, Dorothea H,2.0
Appartement Gästehaus Köpf, Füssen,Deutschland, Bungee-Master,8.0
Appartement Gästehaus Köpf, Füssen,Deutschland, Annette F,8.0
Appartement Gästehaus Köpf, Füssen,Deutschland,M. Fehling,7.0
Appartement Gästehaus Köpf, Füssen,Deutschland,Explore763945,7.0
Appartement Gästehaus Köpf, Füssen,Deutschland,Andrea B,3.0
Vitalotel Roonhof,Bad,Deutschland,Anneliese M,8.0
Vitalotel Roonhof,Bad,Deutschland, Andreas M,8.0
Vitalotel Roonhof,Bad,Deutschland, derOKG,10.0
Vitalotel Roonhof,Bad,Deutschland, 378hartmute,8.0
Vitalotel Roonhof,Bad,Deutschland, marianne572016,8.0
