hotel,city,nation,reviewer,vote
Eype's Mouth Country Hotel,Bridport,England, Phil W,10.0
Eype's Mouth Country Hotel,Bridport,England, Bob and Anne B,10.0
Eype's Mouth Country Hotel,Bridport,England,Paul210668,0.0
Eype's Mouth Country Hotel,Bridport,England,ivan,3.0
Eype's Mouth Country Hotel,Bridport,England,ivan,2.0
Radford Manor,Nottingham,England,vanessa kemp,2.0
Radford Manor,Nottingham,England,NorthStar,1.0
Radford Manor,Nottingham,England,traveller1,8.0
Radford Manor,Nottingham,England,ericgreenhalgh,9.0
Little Larnick Farm,Looe,England,FredP,10.0
Little Larnick Farm,Looe,England, David C,10.0
Little Larnick Farm,Looe,England, Pasu68,10.0
Little Larnick Farm,Looe,England, Jade,10.0
Little Larnick Farm,Looe,England, Steve C,10.0
Little Larnick Farm,Looe,England,rachielou74,9.0
Little Larnick Farm,Looe,England,NorthStar,7.0
Little Larnick Farm,Looe,England,rachielou74,3.0
Rosmerryn Bed and Breakfast,Falmouth,England,sanddollar26,10.0
Rosmerryn Bed and Breakfast,Falmouth,England, Racky-Robot,10.0
Rosmerryn Bed and Breakfast,Falmouth,England, Kate_wall,10.0
Rosmerryn Bed and Breakfast,Falmouth,England, CSSCo,10.0
Rosmerryn Bed and Breakfast,Falmouth,England, nickcoxwold46,10.0
Rosmerryn Bed and Breakfast,Falmouth,England,amigo123,4.0
Rosmerryn Bed and Breakfast,Falmouth,England,ericgreenhalgh,1.0
Rosmerryn Bed and Breakfast,Falmouth,England,Glenda C,0.0
Haisthorpe House,Windermere,England,Emma W,10.0
Haisthorpe House,Windermere,England, Hannah Y,10.0
Haisthorpe House,Windermere,England, jeddy99,10.0
Haisthorpe House,Windermere,England, RazzyBthefirst,10.0
Haisthorpe House,Windermere,England, Kylie C,10.0
Haisthorpe House,Windermere,England,Lisa433,9.0
Haisthorpe House,Windermere,England,ericgreenhalgh,4.0
Haisthorpe House,Windermere,England,Rachel7Mary7ū,2.0
The Royal Oak,Harrogate,England,Andy H,8.0
The Royal Oak,Harrogate,England, Susan W,10.0
The Royal Oak,Harrogate,England, issi0ne,10.0
The Royal Oak,Harrogate,England, HAPPYDAYS1995,10.0
The Royal Oak,Harrogate,England, stockport1965,8.0
The Royal Oak,Harrogate,England,ivan,5.0
The Royal Oak,Harrogate,England,amigo123,5.0
The Royal Oak,Harrogate,England,Lisa433,9.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England,sarahbeth020278,8.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England, Bhranti V,8.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England, elizabethjthomps2020,10.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England, mandbt,10.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England, Inspire21058195115,10.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England,Bibi Z,7.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England,rachielou74,5.0
Premier Inn Leicester Fosse Park Hotel,Leicester,England,traveller1,9.0
Dalby Forest Log Cabins,Pickering,England,hamleybear,10.0
Dalby Forest Log Cabins,Pickering,England, barryf702,8.0
Dalby Forest Log Cabins,Pickering,England, Sonia B,10.0
Dalby Forest Log Cabins,Pickering,England, Ron B,10.0
