hotel,city,nation,reviewer,vote
El Erizo Apartamentos Turisticos S.L,Tarifa,España,Peachgirl1217,6.0
El Erizo Apartamentos Turisticos S.L,Tarifa,España,Vacation557141,4.0
Hospederia rincon de leon,León,España,Juan Carlos Bruno,8.0
Hospederia rincon de leon,León,España, María G,4.0
Hospederia rincon de leon,León,España, Aventurero_Edu,6.0
Hospederia rincon de leon,León,España, lpr2016,4.0
Hospederia rincon de leon,León,España, Miranda_Watson_2018,10.0
Hospederia rincon de leon,León,España,Vacation557141,5.0
Hospederia rincon de leon,León,España,Francisca M,4.0
Hospederia rincon de leon,León,España,Mitas75,1.0
Finca Sierra Olta,Calpe,España,Cap V,10.0
Villa Deluxe Atlantico Rubicon,Lanzarote,España,naseamroga,10.0
Villa Deluxe Atlantico Rubicon,Lanzarote,España, howfener20,8.0
Villa Deluxe Atlantico Rubicon,Lanzarote,España,Yanira,9.0
Villa Deluxe Atlantico Rubicon,Lanzarote,España,Paula P,2.0
Villa Deluxe Atlantico Rubicon,Lanzarote,España,Eva HP,2.0
Hotel Gran Vía,Zaragoza,España,SidiManu,6.0
Hotel Gran Vía,Zaragoza,España, Jordi Ruiz,4.0
Hotel Gran Vía,Zaragoza,España, Juampo,6.0
Hotel Gran Vía,Zaragoza,España, Marilò,4.0
Hotel Gran Vía,Zaragoza,España, CucumisViajeros,6.0
Hotel Gran Vía,Zaragoza,España,Paula P,3.0
Hotel Gran Vía,Zaragoza,España,CELIO GINES G,9.0
Hotel Gran Vía,Zaragoza,España,Laly B,6.0
Hotel ROC Doblemar,Cartagena,España,Odyssey17087352260,10.0
Hotel ROC Doblemar,Cartagena,España, Valdunquillo,8.0
Hotel ROC Doblemar,Cartagena,España, ASPERNAN,2.0
Hotel ROC Doblemar,Cartagena,España, MCRs,8.0
Hotel ROC Doblemar,Cartagena,España, MaryGlory,6.0
Hotel ROC Doblemar,Cartagena,España,Kees v,2.0
Hotel ROC Doblemar,Cartagena,España,mgutierrezherencia,3.0
Hotel ROC Doblemar,Cartagena,España,Yanira,3.0
Jacaranda Lounge,Ibiza,España,Laura G,2.0
Jacaranda Lounge,Ibiza,España, Luis Felipe G,6.0
Jacaranda Lounge,Ibiza,España, Deblue,8.0
Jacaranda Lounge,Ibiza,España, Fran CD,2.0
Jacaranda Lounge,Ibiza,España, Kim,6.0
Jacaranda Lounge,Ibiza,España,Paula P,7.0
Jacaranda Lounge,Ibiza,España,Yanira,2.0
Jacaranda Lounge,Ibiza,España,Fernando R,4.0
Sol Port Cambrils,Cambrils,España,Carles I,8.0
Sol Port Cambrils,Cambrils,España, Lula,10.0
Sol Port Cambrils,Cambrils,España, FarAway441214,8.0
Sol Port Cambrils,Cambrils,España, Excursion62339042695,10.0
Sol Port Cambrils,Cambrils,España, mtriera,10.0
Sol Port Cambrils,Cambrils,España,MON x MON,2.0
Sol Port Cambrils,Cambrils,España,Osvaldo F,3.0
Sol Port Cambrils,Cambrils,España,mgutierrezherencia,6.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España,Jose M,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España, isamigar,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España, Aurora G,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España, xavierantongrau,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España, Ignacio R,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España,Noelia M,6.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España,mgutierrezherencia,8.0
Apartamentos Pierre & Vacances La Manga Beach,Cartagena,España,MON x MON,2.0
Doña Elvira,Valladolid,España,Santiago M,2.0
Doña Elvira,Valladolid,España, Azkue,6.0
Doña Elvira,Valladolid,España, Maria M,10.0
Doña Elvira,Valladolid,España, Luis M,10.0
Doña Elvira,Valladolid,España, fer716,10.0
Doña Elvira,Valladolid,España,Cami B,2.0
Doña Elvira,Valladolid,España,Mitas75,5.0
Doña Elvira,Valladolid,España,viajeroDonostia,5.0
La Torre,Santander,España,txusdapi,8.0
La Torre,Santander,España, Mirandesa,8.0
La Torre,Santander,España,CELIO GINES G,7.0
La Torre,Santander,España,Yanira,2.0
La Torre,Santander,España,Paula P,7.0
Casa Perez Country Guest House,Cartagena,España,ChilindrinaMadrid,10.0
Casa Perez Country Guest House,Cartagena,España, DaveBarrett24,10.0
Casa Perez Country Guest House,Cartagena,España, Elaine766,10.0
Casa Perez Country Guest House,Cartagena,España, bethf814,10.0
Casa Perez Country Guest House,Cartagena,España, TonyStalones,10.0
Casa Perez Country Guest House,Cartagena,España,CELIO GINES G,9.0
Casa Perez Country Guest House,Cartagena,España,MON x MON,5.0
Casa Perez Country Guest House,Cartagena,España,Mitas75,4.0
Nature Dioni,Menorca,España,Maggie87,4.0
Nature Dioni,Menorca,España,Paula P,9.0
Nature Dioni,Menorca,España,Kees v,1.0
Nature Dioni,Menorca,España,viajeroDonostia,5.0
Hotel Boutique Adolfo,Toledo,España,MD Miralles,6.0
Hotel Boutique Adolfo,Toledo,España, JORGE C,4.0
Hotel Boutique Adolfo,Toledo,España, Ecogallego,8.0
Hotel Boutique Adolfo,Toledo,España, Maricarmen M,2.0
Hotel Boutique Adolfo,Toledo,España, nacho s,10.0
Hotel Boutique Adolfo,Toledo,España,Osvaldo F,6.0
Hotel Boutique Adolfo,Toledo,España,viajeroDonostia,5.0
Hotel Boutique Adolfo,Toledo,España,viajeroDonostia,1.0
Casa Blasi,Lleida,España,Mercè P,10.0
Casa Blasi,Lleida,España, Pablo Z,10.0
Casa Blasi,Lleida,España, teclera,10.0
Casa Blasi,Lleida,España, pedr0n51,10.0
Casa Blasi,Lleida,España, driiot,8.0
Casa Blasi,Lleida,España,Peachgirl1217,6.0
Casa Blasi,Lleida,España,Mitas75,7.0
Casa Blasi,Lleida,España,mgutierrezherencia,2.0
Hostal L'Anfora,Denia,España,Elvi Ajero Nofahuer,10.0
Hostal L'Anfora,Denia,España, viajero77,10.0
Hostal L'Anfora,Denia,España, irmaursino,8.0
Hostal L'Anfora,Denia,España, Celiaca moni,10.0
Hostal L'Anfora,Denia,España, 8Alicia,6.0
Hostal L'Anfora,Denia,España,Laly B,3.0
Hostal L'Anfora,Denia,España,Francisca M,7.0
Hostal L'Anfora,Denia,España,ConstanzaT,9.0
Hotel Alondra,Mallorca,España,u207186,10.0
Hotel Alondra,Mallorca,España, Simbaaaa,8.0
Hotel Alondra,Mallorca,España, Curious98336,6.0
Hotel Alondra,Mallorca,España, prs56,8.0
Hotel Alondra,Mallorca,España, Simon Taff P,8.0
Hotel Alondra,Mallorca,España,Cami B,9.0
Hotel Alondra,Mallorca,España,Vacation557141,7.0
Hotel Alondra,Mallorca,España,MON x MON,4.0
Acolá Hostel,Pontevedra,España,Cristina D,10.0
Acolá Hostel,Pontevedra,España, Alberto,10.0
Acolá Hostel,Pontevedra,España, Martin G,10.0
Acolá Hostel,Pontevedra,España, omillo,10.0
Acolá Hostel,Pontevedra,España, aandion,10.0
Acolá Hostel,Pontevedra,España,Eva HP,5.0
Acolá Hostel,Pontevedra,España,MON x MON,5.0
Acolá Hostel,Pontevedra,España,Noelia M,0.0
El Mirador del Castillo,Mojácar,España,jovajo,10.0
El Mirador del Castillo,Mojácar,España, Emilio S,10.0
El Mirador del Castillo,Mojácar,España, chasca13,8.0
El Mirador del Castillo,Mojácar,España, Myriam G,10.0
El Mirador del Castillo,Mojácar,España, MJ R,8.0
El Mirador del Castillo,Mojácar,España,mgutierrezherencia,3.0
El Mirador del Castillo,Mojácar,España,Fernando R,3.0
El Mirador del Castillo,Mojácar,España,ConstanzaT,9.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España,Eva P,10.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España, edualonso4,8.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España, Aitor YG,4.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España, pableras30,6.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España, Antonio M,6.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España,Fernando R,6.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España,Fernando R,4.0
Apartamentos Turisticos La Santa Cruz,Almuñécar,España,Eva HP,7.0
Aparthotel Orquidea Playa,Mallorca,España,macondo1971,8.0
Aparthotel Orquidea Playa,Mallorca,España, rebeca r,10.0
Aparthotel Orquidea Playa,Mallorca,España, Coraggio2013,10.0
Aparthotel Orquidea Playa,Mallorca,España, Sarasararara,6.0
Aparthotel Orquidea Playa,Mallorca,España, JJavi R,8.0
Aparthotel Orquidea Playa,Mallorca,España,mgutierrezherencia,8.0
Aparthotel Orquidea Playa,Mallorca,España,Antonio D,8.0
Aparthotel Orquidea Playa,Mallorca,España,Fernando R,8.0
ME Sitges Terramar,Sitges,España,Eleisa,10.0
ME Sitges Terramar,Sitges,España, José C,10.0
ME Sitges Terramar,Sitges,España, 576juanjo,8.0
ME Sitges Terramar,Sitges,España, Juan y Mercè,10.0
ME Sitges Terramar,Sitges,España, Voyager724293,6.0
ME Sitges Terramar,Sitges,España,Fernando R,1.0
ME Sitges Terramar,Sitges,España,Cami B,9.0
ME Sitges Terramar,Sitges,España,Cami B,8.0
Los Pinares,Ibiza,España,Lydie P,10.0
Los Pinares,Ibiza,España, Leon D,8.0
Los Pinares,Ibiza,España, Kaylz,8.0
Los Pinares,Ibiza,España, fleebee,10.0
Los Pinares,Ibiza,España,Laly B,8.0
Los Pinares,Ibiza,España,Yanira,5.0
Los Pinares,Ibiza,España,Fernando R,0.0
Hostal Mourelos,Grove,España,LQM,8.0
Hostal Mourelos,Grove,España, eva maria,2.0
Hostal Mourelos,Grove,España, Carlos S,6.0
Hostal Mourelos,Grove,España, Sergio C,4.0
Hostal Mourelos,Grove,España, Manu2011,2.0
Hostal Mourelos,Grove,España,Francisca M,7.0
Hostal Mourelos,Grove,España,Antonio D,1.0
Hostal Mourelos,Grove,España,CELIO GINES G,0.0
Hostel Cross,Lugo,España,Clementina_II,4.0
Hostel Cross,Lugo,España, ViajeroGastro,8.0
Hostel Cross,Lugo,España, Inmaculadaaaa,4.0
Hostel Cross,Lugo,España, Miguel O,8.0
Hostel Cross,Lugo,España, Marta Pérez Gómez,10.0
Hostel Cross,Lugo,España,Antonio D,9.0
Hostel Cross,Lugo,España,Noelia M,8.0
Hostel Cross,Lugo,España,Fernando R,4.0
URH Hotel Tossa De Mar,Mar,España,NicolasMagrotti,10.0
URH Hotel Tossa De Mar,Mar,España, marela28,2.0
URH Hotel Tossa De Mar,Mar,España, Oscar L,6.0
URH Hotel Tossa De Mar,Mar,España, REMS0752,6.0
URH Hotel Tossa De Mar,Mar,España, Juan Vargas,2.0
URH Hotel Tossa De Mar,Mar,España,Kees v,4.0
URH Hotel Tossa De Mar,Mar,España,Paula P,8.0
URH Hotel Tossa De Mar,Mar,España,Vacation557141,5.0
Hotel Punta Sur,Tarifa,España,Isabel,4.0
Hotel Punta Sur,Tarifa,España, César C,8.0
Hotel Punta Sur,Tarifa,España, A M,8.0
Hotel Punta Sur,Tarifa,España, Ana6313,10.0
Hotel Punta Sur,Tarifa,España, Topanga,2.0
Hotel Punta Sur,Tarifa,España,Osvaldo F,9.0
Hotel Punta Sur,Tarifa,España,Peachgirl1217,7.0
Hotel Punta Sur,Tarifa,España,CELIO GINES G,6.0
Urban Burgos,Burgos,España,aquiahora2017,2.0
Urban Burgos,Burgos,España, Berjaga,6.0
Urban Burgos,Burgos,España, welovemadrid,8.0
Urban Burgos,Burgos,España, Willvaris,6.0
Urban Burgos,Burgos,España, Rafa Berna Miralles,6.0
Urban Burgos,Burgos,España,CELIO GINES G,7.0
Urban Burgos,Burgos,España,ConstanzaT,8.0
Urban Burgos,Burgos,España,ConstanzaT,2.0
Hospederia V Centenario,Estepona,España,alga_9,10.0
Hospederia V Centenario,Estepona,España, mariaaustria2016,10.0
Hospederia V Centenario,Estepona,España, salseroviajante,6.0
Hospederia V Centenario,Estepona,España, teresalavado38,10.0
Hospederia V Centenario,Estepona,España, Jordistaurant,10.0
Hospederia V Centenario,Estepona,España,ConstanzaT,1.0
Hospederia V Centenario,Estepona,España,CELIO GINES G,6.0
Hospederia V Centenario,Estepona,España,Eva HP,2.0
Apartamentos El Valle,Hierro,España,Comunero87,10.0
Apartamentos El Valle,Hierro,España, Gisela A,10.0
Apartamentos El Valle,Hierro,España, Tim D,8.0
Apartamentos El Valle,Hierro,España, ARIAN942,8.0
Apartamentos El Valle,Hierro,España,CELIO GINES G,4.0
Apartamentos El Valle,Hierro,España,Fernando R,4.0
Apartamentos El Valle,Hierro,España,Mitas75,3.0
Vista Playa II,Menorca,España,Tonimateo,8.0
Vista Playa II,Menorca,España, David C,10.0
Vista Playa II,Menorca,España, Viajero gastronómico,10.0
Vista Playa II,Menorca,España, Ainara G,10.0
Vista Playa II,Menorca,España, jomace53,10.0
Vista Playa II,Menorca,España,mgutierrezherencia,1.0
Vista Playa II,Menorca,España,Eva HP,8.0
Vista Playa II,Menorca,España,Eva HP,1.0
Hostal Creus,Roses,España,Ricky D,2.0
Hostal Creus,Roses,España, Bebege4,2.0
Hostal Creus,Roses,España, BoardingPass714992,10.0
Hostal Creus,Roses,España, Marie B,8.0
Hostal Creus,Roses,España, Manu G,2.0
Hostal Creus,Roses,España,Yanira,3.0
Hostal Creus,Roses,España,Antonio D,2.0
Hostal Creus,Roses,España,CELIO GINES G,6.0
Hotel Portomagno,Mar,España,Angel G,8.0
Hotel Portomagno,Mar,España, Mima G,8.0
Hotel Portomagno,Mar,España, Mochila viajera,10.0
Hotel Portomagno,Mar,España, Alberti,8.0
Hotel Portomagno,Mar,España, M.vida,8.0
Hotel Portomagno,Mar,España,ConstanzaT,1.0
Hotel Portomagno,Mar,España,Kees v,0.0
Hotel Portomagno,Mar,España,ConstanzaT,0.0
Hostal La Rosa,Cáceres,España,Senhales,8.0
Hostal La Rosa,Cáceres,España, Juanjo F,2.0
Hostal La Rosa,Cáceres,España, LEONCIITO,8.0
Hostal La Rosa,Cáceres,España, @ceruleanskyblue,4.0
Hostal La Rosa,Cáceres,España, leglane13,6.0
Hostal La Rosa,Cáceres,España,Eva HP,8.0
Hostal La Rosa,Cáceres,España,Fernando R,6.0
Hostal La Rosa,Cáceres,España,Kees v,8.0
Hotel Ibersol Antemare,Sitges,España,Alberto G,2.0
Hotel Ibersol Antemare,Sitges,España, Juan José M,10.0
Hotel Ibersol Antemare,Sitges,España, Explorer07704118384,8.0
Hotel Ibersol Antemare,Sitges,España, alfred02011,10.0
Hotel Ibersol Antemare,Sitges,España, lgramu744690,10.0
Hotel Ibersol Antemare,Sitges,España,Fernando R,7.0
Hotel Ibersol Antemare,Sitges,España,CELIO GINES G,8.0
Hotel Ibersol Antemare,Sitges,España,CELIO GINES G,5.0
Hostal Casa Francisco,Frontera,España,JASG73,2.0
Hostal Casa Francisco,Frontera,España, rugami2001,6.0
Hostal Casa Francisco,Frontera,España, carolimriver,10.0
Hostal Casa Francisco,Frontera,España, Patricia_grx,6.0
Hostal Casa Francisco,Frontera,España, pescadoypescado,6.0
Hostal Casa Francisco,Frontera,España,Kees v,3.0
Hostal Casa Francisco,Frontera,España,viajeroDonostia,6.0
Hostal Casa Francisco,Frontera,España,Peachgirl1217,7.0
Tigaiga Suites,Tenerife,España,Nabil Hlem,10.0
Tigaiga Suites,Tenerife,España, Eduardo H,10.0
Tigaiga Suites,Tenerife,España, abilio r,10.0
Tigaiga Suites,Tenerife,España, Ferjomar,10.0
Tigaiga Suites,Tenerife,España, ara i,10.0
Tigaiga Suites,Tenerife,España,Noelia M,6.0
Tigaiga Suites,Tenerife,España,Peachgirl1217,9.0
Tigaiga Suites,Tenerife,España,Laly B,0.0
Hotel Los Angeles,Mar,España,david3ml,10.0
Hotel Los Angeles,Mar,España, Mariló A,10.0
Hotel Los Angeles,Mar,España, Jorge M,10.0
Hotel Los Angeles,Mar,España, yoly h,10.0
Hotel Los Angeles,Mar,España, Marialolaisla,10.0
Hotel Los Angeles,Mar,España,MON x MON,3.0
Hotel Los Angeles,Mar,España,Antonio D,7.0
Hotel Los Angeles,Mar,España,Antonio D,0.0
Alojamientos Olga,Pamplona,España,Blanca L,10.0
Alojamientos Olga,Pamplona,España, Antonio E,8.0
Alojamientos Olga,Pamplona,España, Punktu,8.0
Alojamientos Olga,Pamplona,España, JocaJocaJoca,8.0
Alojamientos Olga,Pamplona,España, Maria Paz M M,10.0
Alojamientos Olga,Pamplona,España,Francisca M,5.0
Alojamientos Olga,Pamplona,España,Kees v,6.0
Alojamientos Olga,Pamplona,España,viajeroDonostia,8.0
Casa Rural La Yedra,Burgos,España,MFVEG,10.0
Casa Rural La Yedra,Burgos,España, Maria Jesus I,10.0
Casa Rural La Yedra,Burgos,España, Manolo L,10.0
Casa Rural La Yedra,Burgos,España, Laura V,10.0
Casa Rural La Yedra,Burgos,España, Geco02133,8.0
Casa Rural La Yedra,Burgos,España,MON x MON,4.0
